           4   3.2121133268199237E-002   0.00000000    
  0.399098629812961114E+01  0.348689029712627541E+01  0.100000000000000000E+01           0
  0.365797242748067264E+01  0.299410581602723225E+01  0.189512140092132242E+00           1
  0.375195878070098621E+01  0.471149355958069016E+01  0.100000000000000000E+01           0
  0.448242859206038702E+01  0.421844304666085268E+01  0.762594625656112912E+00           1
           4   3.3297421369127458E-002   0.00000000    
  0.399609766127586452E+01  0.349425938839077599E+01  0.100000000000000000E+01           0
  0.364047816319707307E+01  0.296805433049060374E+01  0.270207841848782104E+00           1
  0.373192737889887161E+01  0.473058251241757777E+01  0.100000000000000000E+01           0
  0.449064925302077711E+01  0.424631701647755300E+01  0.800191048560228602E+00           1
           4   3.4516799360678814E-002   0.00000000    
  0.400154230636045050E+01  0.350184241762216120E+01  0.100000000000000000E+01           0
  0.362805794108584356E+01  0.294932020788248384E+01  0.333823621563499540E+00           1
  0.371163944595584860E+01  0.474914065998886326E+01  0.100000000000000000E+01           0
  0.449832010196748300E+01  0.427464523105039174E+01  0.837402913491104961E+00           1
           4   3.5780846215957084E-002   0.00000000    
  0.400720700431786625E+01  0.350942147601153609E+01  0.100000000000000000E+01           0
  0.361817797477217118E+01  0.293416974772689532E+01  0.388896161307577648E+00           1
  0.369112125045262474E+01  0.476715677171426933E+01  0.100000000000000000E+01           0
  0.450538403354967532E+01  0.430320599028372541E+01  0.874325700114008564E+00           1
           4   3.7091198785658780E-002   0.00000000    
  0.401304221309876930E+01  0.351686814023507255E+01  0.100000000000000000E+01           0
  0.360983591002105486E+01  0.292113563015466848E+01  0.438711293357074705E+00           1
  0.367040291507921346E+01  0.478464115090056197E+01  0.100000000000000000E+01           0
  0.451183846611384443E+01  0.433186596465537743E+01  0.911040717331071503E+00           1
           4   3.8449553920248160E-002   0.00000000    
  0.401902973348805848E+01  0.352409504999660728E+01  0.100000000000000000E+01           0
  0.360250992977647222E+01  0.290945982810199189E+01  0.484944716650935304E+00           1
  0.364951275715155266E+01  0.480161473145939954E+01  0.100000000000000000E+01           0
  0.451770169642947828E+01  0.436053415744172224E+01  0.947618142306437372E+00           1
           4   3.9857670669969460E-002   0.00000000    
  0.402517060582596198E+01  0.353103786091207539E+01  0.100000000000000000E+01           0
  0.359588788129310633E+01  0.289869218503127257E+01  0.528587205739339261E+00           1
  0.362847539182879908E+01  0.481810457699070582E+01  0.100000000000000000E+01           0
  0.452300084014096448E+01  0.438914472496422103E+01  0.984119283035841619E+00           1
           6   4.0809061931790742E-002   0.00000000    
  0.403188681368435997E+01  0.353839363460014633E+01  0.100000000000000000E+01           0
  0.359021534375789653E+01  0.288926138037039104E+01  0.570281975733538449E+00           1
  0.453638208492567330E+01  0.441217297769234751E+01  0.100000000000000000E+01           0
  0.438192888576426665E+01  0.489297356969365360E+01  0.100000000000000089E-01           1
  0.361668766778175188E+01  0.482958048911167559E+01  0.100000000000000000E+01           0
  0.314195845700800724E+01  0.500179307993516264E+01  0.100000000000000089E-01           1
           6   4.2359425920998811E-002   0.00000000    
  0.403869355048864431E+01  0.354622285005519089E+01  0.100000000000000000E+01           0
  0.358508944740514934E+01  0.288090297732140010E+01  0.610474731734329090E+00           1
  0.455099829064048667E+01  0.440502658387895085E+01  0.100000000000000000E+01           0
  0.436765053352659738E+01  0.497338096800269280E+01  0.194392072966615759E+00           1
  0.363906471459084679E+01  0.482146299998626038E+01  0.100000000000000000E+01           0
  0.307352749018635407E+01  0.502661707184774276E+01  0.203196651239495152E+00           1
           6   4.3968892899771496E-002   0.00000000    
  0.404288259349638057E+01  0.355005069596289990E+01  0.100000000000000000E+01           0
  0.357758722447689870E+01  0.286909237372682124E+01  0.649489638710775807E+00           1
  0.457152594341961205E+01  0.439889473851908352E+01  0.100000000000000000E+01           0
  0.437281564108907439E+01  0.500584597256007413E+01  0.277302759342789695E+00           1
  0.366141091747366421E+01  0.481357782661746914E+01  0.100000000000000000E+01           0
  0.305500035666294867E+01  0.503351789942743100E+01  0.290127751643872056E+00           1
           6   4.5639723932504678E-002   0.00000000    
  0.404673825825158584E+01  0.355424568323235546E+01  0.100000000000000000E+01           0
  0.357024193155044500E+01  0.285787965495517993E+01  0.687571503312625731E+00           1
  0.459412646464840346E+01  0.439112449855508746E+01  0.100000000000000000E+01           0
  0.438061461901476878E+01  0.502764522570418926E+01  0.342752314190970964E+00           1
  0.368393964575808708E+01  0.480572636810070719E+01  0.100000000000000000E+01           0
  0.304516442314821933E+01  0.503731651670597813E+01  0.358922782134875051E+00           1
           6   4.7374266892563917E-002   0.00000000    
  0.405026903841255326E+01  0.355899611483228817E+01  0.100000000000000000E+01           0
  0.356309554029058706E+01  0.284731404485534956E+01  0.724910880015607439E+00           1
  0.461754623885905513E+01  0.438252302869920563E+01  0.100000000000000000E+01           0
  0.438865613691505985E+01  0.504377268636169962E+01  0.399488175765266629E+00           1
  0.370748899499841933E+01  0.479749138340597625E+01  0.100000000000000000E+01           0
  0.304057542742363962E+01  0.503917100407950524E+01  0.418707504264669073E+00           1
           6   4.9174959807128424E-002   0.00000000    
  0.405386537133755276E+01  0.356498417913660370E+01  0.100000000000000000E+01           0
  0.355656144473056601E+01  0.283796962601124791E+01  0.761659848977422005E+00           1
  0.464212872825764755E+01  0.437365359426956068E+01  0.100000000000000000E+01           0
  0.440392988118531559E+01  0.505887020157441469E+01  0.450876272702759762E+00           1
  0.372986654360487968E+01  0.478739592318023366E+01  0.100000000000000000E+01           0
  0.303773816931792062E+01  0.503915850641828023E+01  0.472991629048588047E+00           1
           6   5.1044334331379691E-002   0.00000000    
  0.405782321536074697E+01  0.357265920260297865E+01  0.100000000000000000E+01           0
  0.355093120888691516E+01  0.283022422886216685E+01  0.797942375562228357E+00           1
  0.466736458431178836E+01  0.436541346437749933E+01  0.100000000000000000E+01           0
  0.443451577706043132E+01  0.507763294391649733E+01  0.498632915791163311E+00           1
  0.374862197207725423E+01  0.477307423020399479E+01  0.100000000000000000E+01           0
  0.303398730938698824E+01  0.503691028298317889E+01  0.523564457270554673E+00           1
           6   5.2985019357054977E-002   0.00000000    
  0.406131704367041113E+01  0.358096491174667664E+01  0.100000000000000000E+01           0
  0.354542358940863345E+01  0.282293073187047838E+01  0.833861362274399331E+00           1
  0.469244805462404635E+01  0.435664116317556704E+01  0.100000000000000000E+01           0
  0.446375772576447538E+01  0.509387208389379964E+01  0.543772906844723902E+00           1
  0.376761238072912219E+01  0.475795925906092876E+01  0.100000000000000000E+01           0
  0.303202235430448619E+01  0.503417994802266033E+01  0.571484083261284859E+00           1
           6   5.4999744760579790E-002   0.00000000    
  0.406438154352969594E+01  0.359004662344228365E+01  0.100000000000000000E+01           0
  0.354010180475943681E+01  0.281616570229776642E+01  0.869503596783378629E+00           1
  0.471746769548329947E+01  0.434733024150886571E+01  0.100000000000000000E+01           0
  0.449178657126626923E+01  0.510803696045833977E+01  0.586955175274634700E+00           1
  0.378667009148265832E+01  0.474201018438157806E+01  0.100000000000000000E+01           0
  0.303137638362709483E+01  0.503107371714109686E+01  0.617437864151348936E+00           1
           6   5.7091345296198637E-002   0.00000000    
  0.406704834445191654E+01  0.360002658515708118E+01  0.100000000000000000E+01           0
  0.353502097107685076E+01  0.280999548967601109E+01  0.904943314481973404E+00           1
  0.474246510001903943E+01  0.433746282396120897E+01  0.100000000000000000E+01           0
  0.451868363362452996E+01  0.512042900936373613E+01  0.628636475319723553E+00           1
  0.380568649879056897E+01  0.472519149599231714E+01  0.100000000000000000E+01           0
  0.303173979407512517E+01  0.502765902465382286E+01  0.661902653749001146E+00           1
           6   5.9262764639732894E-002   0.00000000    
  0.406935192844788052E+01  0.361100769387026643E+01  0.100000000000000000E+01           0
  0.353023109033996718E+01  0.280448043858378959E+01  0.940244821255417751E+00           1
  0.476744678748316186E+01  0.432701297863285816E+01  0.100000000000000000E+01           0
  0.454450627226148018E+01  0.513125938352785571E+01  0.669149188195995670E+00           1
  0.382458808451293386E+01  0.470747339159809197E+01  0.100000000000000000E+01           0
  0.303289803139848280E+01  0.502397882639633497E+01  0.705225885866370250E+00           1
           6   6.1517059588814829E-002   0.00000000    
  0.407133354285762028E+01  0.362307363303393526E+01  0.100000000000000000E+01           0
  0.352577792257846889E+01  0.279967577928186984E+01  0.975464462228238904E+00           1
  0.479238972582236045E+01  0.431595023174468029E+01  0.100000000000000000E+01           0
  0.456929776365237306E+01  0.514068166054117270E+01  0.708744513646857088E+00           1
  0.384332406630829571E+01  0.468883273576675297E+01  0.100000000000000000E+01           0
  0.303469772101049262E+01  0.502006006197821364E+01  0.747670573007253259E+00           1
           6   6.3857404425673961E-002   0.00000000    
  0.407304388894213343E+01  0.363628739170123261E+01  0.100000000000000000E+01           0
  0.352170278543518656E+01  0.279563081521974643E+01  0.101065212505578028E+01           1
  0.481724491881038297E+01  0.430424309919466985E+01  0.100000000000000000E+01           0
  0.459309237347141774E+01  0.514881278601168724E+01  0.747618172796484126E+00           1
  0.386185901296777079E+01  0.466925374999498022E+01  0.100000000000000000E+01           0
  0.303702633019101320E+01  0.501591898015924631E+01  0.789442076605495036E+00           1
           8   6.5923743070681634E-002   0.00000000    
  0.352658794957895561E+01  0.277159319743868915E+01  0.100000000000000000E+01           0
  0.301783621997287144E+01  0.306597143615348688E+01  0.175562622417042125E+00           1
  0.483098268103097261E+01  0.428503104503927723E+01  0.100000000000000000E+01           0
  0.461774894615763465E+01  0.515216125001439984E+01  0.785926558476839565E+00           1
  0.387159922706416992E+01  0.466158559700869013E+01  0.100000000000000000E+01           0
  0.302871830978945233E+01  0.501854762354333506E+01  0.830704923349024904E+00           1
  0.407523440428063655E+01  0.360764766202124187E+01  0.100000000000000000E+01           0
  0.421936998267095476E+01  0.418115885351815830E+01  0.182692101487321956E+00           1
           8   6.8691870611889944E-002   0.00000000    
  0.352336097008940641E+01  0.271640250191441135E+01  0.100000000000000000E+01           0
  0.297495310203585195E+01  0.304274603313678060E+01  0.276324864779701418E+00           1
  0.492402614193266697E+01  0.428152546481921359E+01  0.100000000000000000E+01           0
  0.468421620176808862E+01  0.516132679177107345E+01  0.823797337763153781E+00           1
  0.382950501275873423E+01  0.471915991385205924E+01  0.100000000000000000E+01           0
  0.295690862624038742E+01  0.505723005996096564E+01  0.871593842108884242E+00           1
  0.408855721889335655E+01  0.354135898582709308E+01  0.100000000000000000E+01           0
  0.428970382179474452E+01  0.415304851155310750E+01  0.287826124508561820E+00           1
           8   7.1577111468718813E-002   0.00000000    
  0.353162711727868173E+01  0.267588442895000478E+01  0.100000000000000000E+01           0
  0.295501528895088539E+01  0.302871706552823206E+01  0.351994186381386909E+00           1
  0.495774452756578299E+01  0.425978308599218902E+01  0.100000000000000000E+01           0
  0.469333456344076705E+01  0.515210080918113711E+01  0.861336668360348057E+00           1
  0.385260525959112377E+01  0.471862638289900804E+01  0.100000000000000000E+01           0
  0.295886815122853886E+01  0.505830495385707657E+01  0.912221274259264803E+00           1
  0.408595678591712286E+01  0.352455168074394098E+01  0.100000000000000000E+01           0
  0.427509902734897551E+01  0.418135338158427583E+01  0.366986849564577167E+00           1
           8   7.4584458233761988E-002   0.00000000    
  0.353344042916879575E+01  0.262281059451979104E+01  0.100000000000000000E+01           0
  0.293836240407783400E+01  0.300694811710549770E+01  0.416586731837402358E+00           1
  0.504188522316043208E+01  0.424900026722092861E+01  0.100000000000000000E+01           0
  0.473556004459337654E+01  0.514753679937774145E+01  0.898634261404264612E+00           1
  0.384262316735473819E+01  0.475285278939709066E+01  0.100000000000000000E+01           0
  0.292211177862444105E+01  0.507827737046409666E+01  0.952682641644377659E+00           1
  0.408383404184567933E+01  0.348209865273705832E+01  0.100000000000000000E+01           0
  0.426821445709234926E+01  0.417536725338938908E+01  0.434736895987519079E+00           1
           8   7.7719117955551739E-002   0.00000000    
  0.355394874802592264E+01  0.259746182206253184E+01  0.100000000000000000E+01           0
  0.293702700547095574E+01  0.300134933988656538E+01  0.474744131693515703E+00           1
  0.505236116148901448E+01  0.422369836586188008E+01  0.100000000000000000E+01           0
  0.474706854056428096E+01  0.514217259555558659E+01  0.935767026274121783E+00           1
  0.385749875891869554E+01  0.475863456215047531E+01  0.100000000000000000E+01           0
  0.291521287386348549E+01  0.508293301993558710E+01  0.993060138476591803E+00           1
  0.408434418719203496E+01  0.344521218514819383E+01  0.100000000000000000E+01           0
  0.430715820500169766E+01  0.415920121527088060E+01  0.495896282057040727E+00           1
          10   8.0461142717773021E-002   0.00000000    
  0.355772289013171905E+01  0.254410625509738608E+01  0.100000000000000000E+01           0
  0.293082667525503293E+01  0.298139517974227264E+01  0.528686322099858330E+00           1
  0.514131456721578584E+01  0.421373154442420716E+01  0.100000000000000000E+01           0
  0.480234055556818085E+01  0.514005940714974408E+01  0.972801753683458337E+00           1
  0.285332467543647317E+01  0.511493730796098944E+01  0.100000000000000000E+01           0
  0.341072270725326643E+01  0.512712917528906953E+01  0.115062702276746753E+00           1
  0.408044864822335285E+01  0.339660715353782328E+01  0.100000000000000000E+01           0
  0.430929268770926921E+01  0.413849938065670475E+01  0.552770003661386511E+00           1
  0.384755182193712386E+01  0.477931761502705577E+01  0.100000000000000000E+01           0
  0.382689303959279670E+01  0.422511961797256408E+01  0.109165822097237353E+00           1
          10   8.3870601298828618E-002   0.00000000    
  0.357337869614178549E+01  0.250918213868464779E+01  0.100000000000000000E+01           0
  0.293216119923426000E+01  0.297036138209684797E+01  0.579678667191023678E+00           1
  0.515181004918527563E+01  0.418803736680907868E+01  0.100000000000000000E+01           0
  0.481035423327188827E+01  0.513314532428823700E+01  0.100979712957452872E+01           1
  0.279991767434804562E+01  0.513395797806263943E+01  0.100000000000000000E+01           0
  0.341537925949343713E+01  0.521461292668571819E+01  0.241447837852351022E+00           1
  0.408125812540521782E+01  0.337061030477474111E+01  0.100000000000000000E+01           0
  0.433287932713449120E+01  0.413352296448890488E+01  0.606672282093424498E+00           1
  0.386610483881310563E+01  0.478778037647229127E+01  0.100000000000000000E+01           0
  0.384198804968323326E+01  0.417388004012859248E+01  0.228747724280035980E+00           1
          12   8.7013932264341454E-002   0.00000000    
  0.358481842579924370E+01  0.246647056504912499E+01  0.100000000000000000E+01           0
  0.293418775086007866E+01  0.295606432746913761E+01  0.628523659481037500E+00           1
  0.481887695819966488E+01  0.512340088581215269E+01  0.100000000000000000E+01           0
  0.467211604544071246E+01  0.569736916428877205E+01  0.184868516268797300E+00           1
  0.275424498407761620E+01  0.514259243109165887E+01  0.100000000000000000E+01           0
  0.340153810579054250E+01  0.528275648304857892E+01  0.324589516609349316E+00           1
  0.407682265325647908E+01  0.333812393763928839E+01  0.100000000000000000E+01           0
  0.433467843636134997E+01  0.412623171858124493E+01  0.658437191167493774E+00           1
  0.386820157193701153E+01  0.481279951027033004E+01  0.100000000000000000E+01           0
  0.384237252659052908E+01  0.415972991593727581E+01  0.307160333893055082E+00           1
  0.516451991767054430E+01  0.417711613847279484E+01  0.100000000000000000E+01           0
  0.538541910767655096E+01  0.471747756325486378E+01  0.167539158294602863E+00           1
          12   9.0881055898216045E-002   0.00000000    
  0.359818053701212781E+01  0.242639890644494649E+01  0.100000000000000000E+01           0
  0.293836191675808323E+01  0.294281890347886677E+01  0.675768748927446872E+00           1
  0.482918879348317276E+01  0.509427130928191652E+01  0.100000000000000000E+01           0
  0.466893686534700336E+01  0.571973996508743276E+01  0.291343052587530238E+00           1
  0.271175260795260842E+01  0.514506418490906015E+01  0.100000000000000000E+01           0
  0.338086007051709192E+01  0.533861945455963660E+01  0.393080670842847146E+00           1
  0.407120582075138593E+01  0.330744775920136203E+01  0.100000000000000000E+01           0
  0.433128052082176307E+01  0.412121617370895077E+01  0.708634404507753501E+00           1
  0.386288151299224891E+01  0.483569079175621752E+01  0.100000000000000000E+01           0
  0.379164240434045041E+01  0.415362734356695817E+01  0.371547385921938034E+00           1
  0.518491682054040570E+01  0.415532460050936070E+01  0.100000000000000000E+01           0
  0.542059178580474299E+01  0.474142374178524317E+01  0.263415834405557936E+00           1
          12   9.4921020605238243E-002   0.00000000    
  0.361170876074780045E+01  0.238616081474535013E+01  0.100000000000000000E+01           0
  0.294387528559505007E+01  0.292944169615056227E+01  0.721807964478063724E+00           1
  0.483881844681061501E+01  0.506297127875951336E+01  0.100000000000000000E+01           0
  0.466817538441188251E+01  0.572719140053504105E+01  0.371579272103971014E+00           1
  0.267133906835856338E+01  0.514316835877190659E+01  0.100000000000000000E+01           0
  0.335668081145188602E+01  0.538529335596519854E+01  0.453709488298188468E+00           1
  0.406553139404899877E+01  0.327725285123965859E+01  0.100000000000000000E+01           0
  0.432786436356571880E+01  0.411602365362795641E+01  0.757674652300099005E+00           1
  0.385942827621592111E+01  0.485961378654525511E+01  0.100000000000000000E+01           0
  0.373539643502944418E+01  0.415628644595176677E+01  0.428360242592064511E+00           1
  0.520656820929181396E+01  0.413140022925657302E+01  0.100000000000000000E+01           0
  0.544915435310956120E+01  0.475337265005109533E+01  0.335211937336336252E+00           1
          12   9.9141594381397496E-002   0.00000000    
  0.362582622823821188E+01  0.234668058840553684E+01  0.100000000000000000E+01           0
  0.295045432959627707E+01  0.291623244082276312E+01  0.766936913494203232E+00           1
  0.484608108629817025E+01  0.503315788171769096E+01  0.100000000000000000E+01           0
  0.466706325960559010E+01  0.573070571487084468E+01  0.440306025552061886E+00           1
  0.263260839644349698E+01  0.513780952790143264E+01  0.100000000000000000E+01           0
  0.333093804704419005E+01  0.542398788215538552E+01  0.509387095945353252E+00           1
  0.405982577019446467E+01  0.324773142911702450E+01  0.100000000000000000E+01           0
  0.432549379841286363E+01  0.411069678408874939E+01  0.805866778141651530E+00           1
  0.385723181429059814E+01  0.488271972372514362E+01  0.100000000000000000E+01           0
  0.368417263219894897E+01  0.416305175259829241E+01  0.480366804777882628E+00           1
  0.522843120221782875E+01  0.410409939156422965E+01  0.100000000000000000E+01           0
  0.548658798880384158E+01  0.475277957044356114E+01  0.396325035128050285E+00           1
          12  0.10355089621813410        0.00000000    
  0.364044069531528258E+01  0.230797173553072632E+01  0.100000000000000000E+01           0
  0.295778039864257103E+01  0.290316390055088869E+01  0.811384877881741406E+00           1
  0.485141790933018680E+01  0.500392959919239999E+01  0.100000000000000000E+01           0
  0.466567513995761818E+01  0.573180271089580273E+01  0.502397607978641636E+00           1
  0.259506070925303511E+01  0.512982836299974387E+01  0.100000000000000000E+01           0
  0.330399613755158139E+01  0.545712097228218962E+01  0.561678447808965142E+00           1
  0.405393828951910429E+01  0.321852262172938586E+01  0.100000000000000000E+01           0
  0.432408651819632439E+01  0.410499885437305601E+01  0.853451026058745787E+00           1
